Itération,Sync Timestamp,EstimatedX,EstimatedY,Orientation (en degrés),?distance,Rssi Set,,,,,,Timestamp,True Position index,Sync Timestamp,TrueX,TrueY,ErrorX,ErrorY
1,08-avril-2016 11:25:04.890,"0,797909","1,257046",210,"0,785706", {Ml1B:-78,56WR:-89,tBfJ:-87,z6SH:-72,IKAo:-60,T0Fy:-78} , 08-avril-2016 11:25:04.132,1,08-avril-2016 11:25:04.890,"0,86","0,98","0,062091","0,277046"
2,08-avril-2016 11:25:04.890 ,"-0,281128","1,70916",155,"1,275276", {Ml1B:-80,56WR:-88,tBfJ:-82,z6SH:-72,IKAo:-64,T0Fy:-84} , 08-avril-2016 11:25:05.136,,,,,,
3,08-avril-2016 11:25:04.890 ,"-0,130497","2,300091",92,"0,674474", {Ml1B:-83,56WR:-87,tBfJ:-85,z6SH:-80,IKAo:-63,T0Fy:-86} , 08-avril-2016 11:25:06.195,,,,,,
4,08-avril-2016 11:25:04.890 ,"-0,008528","2,680898",90,"0,581497", {Ml1B:-79,56WR:-88,tBfJ:-84,z6SH:-79,IKAo:-63,T0Fy:-89} , 08-avril-2016 11:25:07.238,,,,,,
5,08-avril-2016 11:25:08.839 ,"1,740228","2,512309",92,"0,840681", {Ml1B:-73,56WR:-86,tBfJ:-82,z6SH:-80,IKAo:-60,T0Fy:-83} , 08-avril-2016 11:25:09.341,2,08-avril-2016 11:25:08.839,"0,86","2,98","0,880228","0,467691"
6,08-avril-2016 11:25:08.839 ,"1,854959","3,205218",92,"0,680607", {Ml1B:-76,56WR:-85,tBfJ:-85,z6SH:-73,IKAo:-66,T0Fy:-85} , 08-avril-2016 11:25:10.504,,,,,,
7,08-avril-2016 11:25:12.324 ,"1,871989","3,927487",96,"0,505808", {Ml1B:-79,56WR:-84,tBfJ:-86,z6SH:-75,IKAo:-68,T0Fy:-86} , 08-avril-2016 11:25:11.637,3,08-avril-2016 11:25:12.324,"0,86","4,98","1,011989","1,052513"
8,08-avril-2016 11:25:12.324 ,"1,788707","4,521386",98,"0,722406", {Ml1B:-76,56WR:-83,tBfJ:-82,z6SH:-73,IKAo:-71,T0Fy:-82} , 08-avril-2016 11:25:12.677,,,,,,
9,08-avril-2016 11:25:14.374 ,"1,729952","5,259691",99,"0,752762", {Ml1B:-75,56WR:-86,tBfJ:-83,z6SH:-73,IKAo:-68,T0Fy:-81} , 08-avril-2016 11:25:13.695,4,08-avril-2016 11:25:14.374,"0,86","6,98","0,869952","1,720309"
10,08-avril-2016 11:25:14.374 ,"2,628827","6,42081",47,"1,426075", {Ml1B:-77,56WR:-87,tBfJ:-82,z6SH:-73,IKAo:-70,T0Fy:-81} , 08-avril-2016 11:25:14.910,,,,,,
