1.800000 ; 2.000000 ; SW ; {Ml1B:-78;56WR:-84;tBfJ:-78;z6SH:-76;IKAo:-56} ;
1.800000 ; 2.000000 ; S ; {Ml1B:-88;tBfJ:-84;z6SH:-82;IKAo:-65;T0Fy:-84} ;
1.800000 ; 2.000000 ; SE ; {Ml1B:-81;tBfJ:-83;z6SH:-81;IKAo:-66} ;;
1.800000 ; 2.000000 ; E ; {Ml1B:-77;tBfJ:-86;z6SH:-75;IKAo:-65;T0Fy:-82} ;
1.800000 ; 2.000000 ; NE ; {Ml1B:-77;tBfJ:-85;z6SH:-79;IKAo:-59;T0Fy:-84} ;
1.800000 ; 2.000000 ; N ; {Ml1B:-77;tBfJ:-81;z6SH:-82;IKAo:-58;T0Fy:-89} ;
1.800000 ; 2.000000 ; NW ; {Ml1B:-74;tBfJ:-79;z6SH:-79;IKAo:-62;T0Fy:-84} ;
1.800000 ; 2.000000 ; SW ; {Ml1B:-74;56WR:-90;tBfJ:-84;z6SH:-74;IKAo:-63;T0Fy:-87} 
1.800000 ; 2.000000 ; W ; {Ml1B:-77;tBfJ:-79;z6SH:-76;IKAo:-61;T0Fy:-80} ;
2.260000 ; 4.300000 ; SW ; {Ml1B:-77;56WR:-89;tBfJ:-81;z6SH:-74;IKAo:-69;T0Fy:-84} 
2.260000 ; 4.300000 ; W ; {Ml1B:-78;56WR:-89;tBfJ:-84;z6SH:-79;IKAo:-65;T0Fy:-81} 
2.260000 ; 4.300000 ; NE ; {Ml1B:-72;56WR:-90;tBfJ:-80;z6SH:-81;IKAo:-64;T0Fy:-85} 
2.260000 ; 4.300000 ; N ; {Ml1B:-68;56WR:-87;tBfJ:-84;z6SH:-74;IKAo:-64;T0Fy:-81} 
2.260000 ; 4.300000 ; NW ; {Ml1B:-70;56WR:-87;tBfJ:-84;z6SH:-70;IKAo:-69;T0Fy:-82} 
2.260000 ; 4.300000 ; E ; {Ml1B:-77;z6SH:-75;IKAo:-61;T0Fy:-81} ;;
2.260000 ; 4.300000 ; SE ; {Ml1B:-74;56WR:-90;tBfJ:-84;z6SH:-78;IKAo:-71;T0Fy:-81} 
2.260000 ; 4.300000 ; S ; {Ml1B:-71;56WR:-90;tBfJ:-84;z6SH:-76;IKAo:-67;T0Fy:-87} 
2.310000 ; 7.380000 ; SE ; {Ml1B:-79;56WR:-88;tBfJ:-77;z6SH:-76;IKAo:-87;T0Fy:-87} 
2.310000 ; 7.380000 ; E ; {Ml1B:-76;tBfJ:-77;z6SH:-75;IKAo:-68;T0Fy:-87} ;
2.310000 ; 7.380000 ; NE ; {Ml1B:-71;56WR:-88;tBfJ:-78;z6SH:-85;IKAo:-70;T0Fy:-84} 
2.310000 ; 7.380000 ; N ; {Ml1B:-72;56WR:-82;tBfJ:-83;z6SH:-74;IKAo:-71;T0Fy:-76} 
2.310000 ; 7.380000 ; NW ; {Ml1B:-75;56WR:-84;tBfJ:-80;z6SH:-68;IKAo:-71;T0Fy:-84} 
2.310000 ; 7.380000 ; W ; {Ml1B:-72;56WR:-91;tBfJ:-78;IKAo:-75;T0Fy:-85} ;
2.310000 ; 7.380000 ; SW ; {Ml1B:-69;56WR:-87;tBfJ:-71;z6SH:-73;IKAo:-74;T0Fy:-84} 
2.310000 ; 7.380000 ; S ; {Ml1B:-72;56WR:-85;tBfJ:-76;z6SH:-79;IKAo:-68;T0Fy:-87} 
2.250000 ; 11.570000 ; SE ; {Ml1B:-82;56WR:-85;tBfJ:-79;z6SH:-80;T0Fy:-83;IKAo:-85} 
2.250000 ; 11.570000 ; E ; {Ml1B:-74;56WR:-84;tBfJ:-80;z6SH:-70;IKAo:-77;T0Fy:-86} 
2.250000 ; 11.570000 ; NE ; {Ml1B:-79;56WR:-90;tBfJ:-68;z6SH:-71;IKAo:-76;T0Fy:-84} 
2.250000 ; 11.570000 ; N ; {Ml1B:-73;56WR:-80;tBfJ:-71;z6SH:-71;IKAo:-74;T0Fy:-89} 
2.250000 ; 11.570000 ; NW ; {Ml1B:-77;56WR:-86;tBfJ:-82;z6SH:-76;IKAo:-79;T0Fy:-87} 
2.250000 ; 11.570000 ; W ; {Ml1B:-72;56WR:-85;tBfJ:-68;z6SH:-77;IKAo:-81;T0Fy:-84} 
2.250000 ; 11.570000 ; SW ; {Ml1B:-79;tBfJ:-66;z6SH:-78;IKAo:-80;T0Fy:-87} ;
2.250000 ; 11.570000 ; S ; {Ml1B:-71;56WR:-89;tBfJ:-73;z6SH:-74;IKAo:-70;T0Fy:-88} 
2.290000 ; 14.580000 ; SE ; {Ml1B:-78;56WR:-81;tBfJ:-62;z6SH:-75;IKAo:-86;T0Fy:-90} 
2.290000 ; 14.580000 ; S ; {Ml1B:-84;56WR:-85;tBfJ:-65;z6SH:-84;IKAo:-77;T0Fy:-87} 
2.290000 ; 14.580000 ; E ; {Ml1B:-82;56WR:-90;tBfJ:-56;z6SH:-81;IKAo:-76;T0Fy:-86} 
2.290000 ; 14.580000 ; NE ; {Ml1B:-73;56WR:-88;tBfJ:-54;z6SH:-78;IKAo:-81;T0Fy:-89} 
2.290000 ; 14.580000 ; N ; {Ml1B:-71;56WR:-86;tBfJ:-63;z6SH:-76;IKAo:-79;T0Fy:-86} 
2.290000 ; 14.580000 ; NW ; {Ml1B:-71;56WR:-87;tBfJ:-59;z6SH:-85;IKAo:-83;T0Fy:-85} 
2.290000 ; 14.580000 ; W ; {Ml1B:-81;56WR:-88;tBfJ:-63;z6SH:-84;IKAo:-76;T0Fy:-88} 
2.290000 ; 14.580000 ; SW ; {Ml1B:-81;56WR:-82;tBfJ:-61;z6SH:-82;IKAo:-80;T0Fy:-84} 
4.360000 ; 16.610000 ; SW ; {Ml1B:-72;56WR:-89;tBfJ:-73;z6SH:-86;IKAo:-79} ;
4.360000 ; 16.610000 ; W ; {Ml1B:-69;56WR:-85;tBfJ:-63;z6SH:-79;T0Fy:-86;IKAo:-87} 
4.360000 ; 16.610000 ; NW ; {Ml1B:-71;56WR:-77;tBfJ:-65;z6SH:-80;IKAo:-84;T0Fy:-85} 
4.360000 ; 16.610000 ; N ; {Ml1B:-72;56WR:-74;tBfJ:-69;z6SH:-79;IKAo:-81;T0Fy:-84} 
4.360000 ; 16.610000 ; NE ; {Ml1B:-69;56WR:-92;tBfJ:-63;z6SH:-79;IKAo:-79;T0Fy:-81} 
4.360000 ; 16.610000 ; E ; {Ml1B:-79;56WR:-89;tBfJ:-67;z6SH:-82;IKAo:-75;T0Fy:-88} 
4.360000 ; 16.610000 ; SE ; {Ml1B:-71;56WR:-82;tBfJ:-65;z6SH:-79;IKAo:-83;T0Fy:-88} 
4.360000 ; 16.610000 ; S ; {Ml1B:-68;56WR:-83;tBfJ:-68;z6SH:-81;T0Fy:-84} ;
7.550000 ; 16.590000 ; SW ; {Ml1B:-71;56WR:-90;tBfJ:-77;z6SH:-83;IKAo:-80;T0Fy:-88} 
7.550000 ; 16.590000 ; W ; {Ml1B:-65;56WR:-86;tBfJ:-71;z6SH:-75} ;;
7.550000 ; 16.590000 ; NW ; {Ml1B:-66;56WR:-85;tBfJ:-68;z6SH:-76;T0Fy:-83;IKAo:-86} 
7.550000 ; 16.590000 ; N ; {Ml1B:-67;56WR:-79;tBfJ:-68;z6SH:-85;T0Fy:-87;IKAo:-88} 
7.550000 ; 16.590000 ; NE ; {Ml1B:-64;56WR:-89;tBfJ:-74;z6SH:-78;T0Fy:-88} ;
7.550000 ; 16.590000 ; E ; {Ml1B:-68;56WR:-85;tBfJ:-75;z6SH:-81;IKAo:-83;T0Fy:-85} 
7.550000 ; 16.590000 ; SE ; {Ml1B:-74;56WR:-81;tBfJ:-66;z6SH:-83;IKAo:-88} ;
7.550000 ; 16.590000 ; S ; {Ml1B:-74;56WR:-86;tBfJ:-68;z6SH:-82;IKAo:-86;T0Fy:-86} 
10.770000 ; 15.630000 ; SW ; {Ml1B:-67;56WR:-87;tBfJ:-89;z6SH:-75;IKAo:-77;T0Fy:-85} 
10.770000 ; 15.630000 ; SE ; {Ml1B:-67;56WR:-80;tBfJ:-78;z6SH:-84;IKAo:-85;T0Fy:-89} 
10.770000 ; 15.630000 ; NW ; {Ml1B:-65;56WR:-80;tBfJ:-84;T0Fy:-84;IKAo:-86} ;
10.770000 ; 15.630000 ; W ; {Ml1B:-62;56WR:-78;tBfJ:-73;z6SH:-83;T0Fy:-83;IKAo:-89} 
10.770000 ; 15.630000 ; S ; {Ml1B:-68;56WR:-82;tBfJ:-74;z6SH:-79;T0Fy:-87;IKAo:-88} 
10.770000 ; 15.630000 ; E ; {Ml1B:-66;56WR:-78;tBfJ:-73;z6SH:-79;T0Fy:-86;IKAo:-90} 
10.770000 ; 15.630000 ; NE ; {Ml1B:-69;56WR:-82;tBfJ:-76;z6SH:-81;IKAo:-87;T0Fy:-88} 
10.770000 ; 15.630000 ; N ; {Ml1B:-64;56WR:-80;tBfJ:-80;z6SH:-77;IKAo:-88} ;
13.930000 ; 15.620000 ; NW ; {Ml1B:-68;56WR:-70;tBfJ:-87;z6SH:-80;T0Fy:-83;IKAo:-84} 
13.930000 ; 15.620000 ; N ; {Ml1B:-68;56WR:-72;tBfJ:-84;z6SH:-73} ;;
13.930000 ; 15.620000 ; NE ; {Ml1B:-60;56WR:-80;tBfJ:-79;z6SH:-90} ;;
13.930000 ; 15.620000 ; E ; {Ml1B:-57;56WR:-76;tBfJ:-86;z6SH:-81;IKAo:-87;T0Fy:-87} 
13.930000 ; 15.620000 ; SE ; {Ml1B:-61;56WR:-76;tBfJ:-76;z6SH:-83;T0Fy:-87;IKAo:-88} 
13.930000 ; 15.620000 ; S ; {Ml1B:-74;56WR:-78;tBfJ:-76;z6SH:-81;T0Fy:-80;IKAo:-90} 
